name,position
Mateusz Morawiecki,Prezes Rady Ministrów
Mateusz Morawiecki,"Minister cyfryzacji, wykonujący obowiązki ministra finansów"
Jarosław Kaczyński,Wiceprezes Rady Ministrów
Piotr Gliński,Wiceprezes Rady Ministrów
Piotr Gliński,Minister kultury i dziedzictwa narodowego
Piotr Gliński,Przewodniczący Komitetu do spraw pożytku publicznego
Henryk Kowalczyk,Wiceprezes Rady Ministrów
Henryk Kowalczyk,Minister rolnictwa i rozwoju wsi
Jacek Sasin,Wiceprezes Rady Ministrów
Jacek Sasin,Minister aktywów państwowych
Andrzej Adamczyk,Minister infrastruktury
Mariusz Błaszczak,Minister obrony narodowej
Kamil Bortniczuk,Minister sportu i turystyki
Przemysław Czarnek,Minister edukacji i nauki
Mariusz Kamiński,Minister Spraw Wewnętrznych i Administracji
Mariusz Kamiński,Koordynator służb specjalnych
Marlena Maląg,Minister rodziny i polityki społecznej
Anna Moskwa,Minister klimatu i środowiska
Adam Niedzielski,Minister zdrowia
Piotr Nowak,Minister rozwoju i technologii
Grzegorz Puda,Minister funduszy i polityki regionalnej
Zbigniew Rau,Minister spraw zagranicznych
Zbigniew Ziobro,Minister sprawiedliwości
Michał Cieślak,Minister – członek Rady Ministrów
Michał Dworczyk,Minister - członek Rady Ministrów
Michał Dworczyk,Szef Kancelarii Prezesa Rady Ministrów
Łukasz Schreiber,Minister - członek Rady Ministrów
Konrad Szymański,Minister do spraw Unii Europejskiej
Michał Wójcik,Minister – członek Rady Ministrów
