item,itemLabel,startDate,endDate,sourceDate,psid
Q55932,Leszek Balcerowicz,1997-10-31,2000-06-08,,Q55932-513D4E0B-E136-414E-93A8-4681547746FF
Q11720788,Jarosław Bauc,2000-06-12,2001-08-28,,Q11720788-65FFAAF2-9BC1-4474-8394-C0B7D690D479
Q9285477,Halina Wasilewska-Trenkner,2001-08-28,2001-10-19,,Q9285477-446E6CD5-F01B-4CCD-A32E-F5BA75C92BE5
Q55900,Marek Belka,2001-10-19,2002-07-06,,Q55900-2DF22E93-7137-4AF9-907C-39DA7E15A49B
Q4228200,Grzegorz Kołodko,2002-07-06,2003-06-16,,Q4228200-55EC49C2-4956-4427-8700-90A652D6742A
Q9153343,Andrzej Raczko,2003-06-16,2004-07-21,,Q9153343-AAE1B16A-C651-4F64-9E83-A8BD6BDEC39D
Q11781796,Mirosław Gronicki,2004-07-21,2005-10-31,,Q11781796-7A0A944B-C81C-43C4-B89E-79D91ECBC69A
Q9357326,Teresa Lubińska,2005-10-31,2006-01-07,,Q9357326-0A1F1771-33E9-4EA9-8A57-DE853C96CCEB
Q55938,Zyta Gilowska,2006-01-07,2006-06-24,,Q55938-5192CC7B-1946-4A38-84DC-9D0A540DBB4B
Q2065166,Paweł Wojciechowski,2006-06-24,2006-07-14,,Q2065166-96D3C5C2-26D5-4BD4-985D-BFCAF9669648
Q3496762,Stanisław Kluza,2006-07-14,2006-09-22,,Q3496762-8D2D7848-60FD-464A-AAC8-96ABFFA7A561
Q55938,Zyta Gilowska,2006-09-22,2007-09-07,,Q55938-5E56F0F4-83CA-49ED-933D-39CDC8CDA9B4
Q55938,Zyta Gilowska,2007-09-10,2007-11-16,,Q55938-D200AC13-D9CC-47D0-AC90-FB39F69E0449
Q898174,Jacek Rostowski,2007-11-16,2013-11-27,,Q898174-62FFDC80-8F45-4637-AA9F-72081AB7EB4D
Q15214281,Mateusz Szczurek,2013-11-27,2015-11-16,,Q15214281-02FF6521-DE95-405B-81FA-7BE5C94487DE
Q11814444,Paweł Szałamacha,2015-11-16,2016-09-28,,Q11814444-7DA84268-974E-4095-95AC-0AE194236D66
Q11771436,Mateusz Morawiecki,2016-09-28,2017-12-08,,Q11771436-07657660-478d-c85f-c527-f1c2aa5ec955
Q22350977,Teresa Czerwińska,2018-01-09,2019-06-04,,Q22350977-F91743DF-996F-497B-8E03-0E53EC173405
Q11769295,Marian Banaś,2019-06-04,2019-08-30,,Q11769295-2696CF3F-33AA-4240-997B-064C09884DFF
Q21440621,Jerzy Kwieciński,2019-09-20,2019-11-15,,Q21440621-3E50278E-9343-4176-A5C9-BEBDF56C4399
Q55391459,Tadeusz Kościński,2019-11-15,2022-02-07,,Q55391459-F3D9EE73-FBF9-4169-B1E4-DA575C71D109
Q11771436,Mateusz Morawiecki,2022-02-10,2022-04-26,,Q11771436-b8fe523c-461c-1ea9-51f4-476c0bf01afd
Q87408679,Magdalena Rzeczkowska,2022-04-26,,,Q87408679-cc5c0c88-4357-962b-a151-1d5925bbb210
